ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-221664,ocds-lcuori-221664/2-contract,6Kdoye-byP1K8,6Kdoye,Poder Judicial
ocds-lcuori-221664,ocds-lcuori-221664/2-contract,6Kdoye-byP1K8-byP1K8,6Kdoye-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221665,ocds-lcuori-221665/2-contract,RyYx4z-wr13yl,RyYx4z,Empresa Hondure?a de Telecomunicaciones
ocds-lcuori-221665,ocds-lcuori-221665/2-contract,RyYx4z-wr13yl-wr13yl,RyYx4z-wr13yl,GERENCIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-221666,ocds-lcuori-221666/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-221666,ocds-lcuori-221666/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221668,ocds-lcuori-221668/2-contract,6y6kKW-byP1K8,6y6kKW,Instituto Hondure?o de Geologia y Minas
ocds-lcuori-221668,ocds-lcuori-221668/2-contract,6y6kKW-byP1K8-NzBWyw,6y6kKW-byP1K8,GERENCIA_CENTRAL
ocds-lcuori-221669,ocds-lcuori-221669/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-221669,ocds-lcuori-221669/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221670,ocds-lcuori-221670/2-contract,byPeXK-byP1K8,byPeXK,Universidad Nacional Autonoma de Honduras
ocds-lcuori-221670,ocds-lcuori-221670/2-contract,byPeXK-byP1K8-JyjxrP,byPeXK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221671,ocds-lcuori-221671/2-contract,byPeXK-byP1K8,byPeXK,Universidad Nacional Autonoma de Honduras
ocds-lcuori-221671,ocds-lcuori-221671/2-contract,byPeXK-byP1K8-7zv2zR,byPeXK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-221673,ocds-lcuori-221673/2-contract,byQwDr-xK3qzP,byQwDr,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-221673,ocds-lcuori-221673/2-contract,byQwDr-xK3qzP-ero6KM,byQwDr-xK3qzP,GERENCIA DE LA CNSSP
ocds-lcuori-221677,ocds-lcuori-221677/2-contract,byPeXK-byP1K8,byPeXK,Universidad Nacional Autonoma de Honduras
