ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-2LmqDL-CPuNO-04-AMDC-20-2016-2,ocds-lcuori-2LmqDL-CPuNO-04-AMDC-20-2016-2/3,2LmqDL-CPuNO-04-AMDC-20-2016-2,2LmqDL-CPuNO-04-AMDC-20-2016-2,500.0,document
ocds-lcuori-2LmqDL-LPuNO-06-AMDC-32-2016-2,ocds-lcuori-2LmqDL-LPuNO-06-AMDC-32-2016-2/3,2LmqDL-LPuNO-06-AMDC-32-2016-2,2LmqDL-LPuNO-06-AMDC-32-2016-2,500.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-03-2016-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-03-2016-2/3,wrV3LP-LPR-IDECOAS-FHIS-03-2016-2,wrV3LP-LPR-IDECOAS-FHIS-03-2016-2,300.0,document
ocds-lcuori-kG1ger-LPI 01-2016-2,ocds-lcuori-kG1ger-LPI 01-2016-2/3,kG1ger-LPI 01-2016-2,kG1ger-LPI 01-2016-2,1500.0,document
ocds-lcuori-Zr5mWr-LPN No. 01-2016-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-LPN No. 01-2016-SEAPI-UNAH-2/6,Zr5mWr-LPN No. 01-2016-SEAPI-UNAH-2,Zr5mWr-LPN No. 01-2016-SEAPI-UNAH-2,5000.0,document
ocds-lcuori-2LmqDL-LPrNO-05-AMDC-07-2016-2,ocds-lcuori-2LmqDL-LPrNO-05-AMDC-07-2016-2/3,2LmqDL-LPrNO-05-AMDC-07-2016-2,2LmqDL-LPrNO-05-AMDC-07-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-15-AMDC-26-2016-2,ocds-lcuori-2LmqDL-LPrNO-15-AMDC-26-2016-2/3,2LmqDL-LPrNO-15-AMDC-26-2016-2,2LmqDL-LPrNO-15-AMDC-26-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-08-AMDC-11-2016-2,ocds-lcuori-2LmqDL-LPrNO-08-AMDC-11-2016-2/3,2LmqDL-LPrNO-08-AMDC-11-2016-2,2LmqDL-LPrNO-08-AMDC-11-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-09-AMDC-12-2016-2,ocds-lcuori-2LmqDL-LPrNO-09-AMDC-12-2016-2/3,2LmqDL-LPrNO-09-AMDC-12-2016-2,2LmqDL-LPrNO-09-AMDC-12-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-06-AMDC-09-2016-2,ocds-lcuori-2LmqDL-LPrNO-06-AMDC-09-2016-2/3,2LmqDL-LPrNO-06-AMDC-09-2016-2,2LmqDL-LPrNO-06-AMDC-09-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-07-AMDC-10-2016-2,ocds-lcuori-2LmqDL-LPrNO-07-AMDC-10-2016-2/3,2LmqDL-LPrNO-07-AMDC-10-2016-2,2LmqDL-LPrNO-07-AMDC-10-2016-2,200.0,document
ocds-lcuori-2LmqDL-CPrNO-01-AMDC-01-2016-2,ocds-lcuori-2LmqDL-CPrNO-01-AMDC-01-2016-2/3,2LmqDL-CPrNO-01-AMDC-01-2016-2,2LmqDL-CPrNO-01-AMDC-01-2016-2,200.0,document
ocds-lcuori-orvOoL-LPN-05-2016-HEU-AV-2,ocds-lcuori-orvOoL-LPN-05-2016-HEU-AV-2/3,orvOoL-LPN-05-2016-HEU-AV-2,orvOoL-LPN-05-2016-HEU-AV-2,500.0,document
ocds-lcuori-orvOoL-LPN-08-2016-HEU-SP-2,ocds-lcuori-orvOoL-LPN-08-2016-HEU-SP-2/3,orvOoL-LPN-08-2016-HEU-SP-2,orvOoL-LPN-08-2016-HEU-SP-2,500.0,document
ocds-lcuori-Zr5zxL-LPN-MPC-GAF-01-2015-2,ocds-lcuori-Zr5zxL-LPN-MPC-GAF-01-2015-2/3,Zr5zxL-LPN-MPC-GAF-01-2015-2,Zr5zxL-LPN-MPC-GAF-01-2015-2,300.0,document
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-08-2016-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-08-2016-2/3,2LmqDL-LPuNO-01-AMDC-08-2016-2,2LmqDL-LPuNO-01-AMDC-08-2016-2,500.0,document
ocds-lcuori-2LmqDL-LPuNO-03-AMDC-16-2016-2,ocds-lcuori-2LmqDL-LPuNO-03-AMDC-16-2016-2/3,2LmqDL-LPuNO-03-AMDC-16-2016-2,2LmqDL-LPuNO-03-AMDC-16-2016-2,500.0,document
ocds-lcuori-Zr5mWr-CPN-No-01-2016-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-CPN-No-01-2016-SEAPI-UNAH-2/3,Zr5mWr-CPN-No-01-2016-SEAPI-UNAH-2,Zr5mWr-CPN-No-01-2016-SEAPI-UNAH-2,1000.0,document
ocds-lcuori-orvOoL-LPN N°07-2016-HEU-SH-2,ocds-lcuori-orvOoL-LPN N°07-2016-HEU-SH-2/3,orvOoL-LPN N°07-2016-HEU-SH-2,orvOoL-LPN N°07-2016-HEU-SH-2,500.0,document
